Country,Population,Capital,Subregion,Area
Qatar,3173024,Doha,Western Asia,11586.0
Myanmar,51316756,Naypyidaw,South-Eastern Asia,676578.0
Macau,685900,N/A,Eastern Asia,30.0
Jordan,11734000,Amman,Western Asia,89342.0
Laos,7647000,Vientiane,South-Eastern Asia,236800.0
Bhutan,784043,Thimphu,Southern Asia,38394.0
Palestine,5483450,Ramallah,Western Asia,6220.0
Hong Kong,7527500,City of Victoria,Eastern Asia,1104.0
Uzbekistan,37859698,Tashkent,Central Asia,447400.0
Indonesia,284438782,Jakarta,South-Eastern Asia,1904569.0
Timor-Leste,1391221,Dili,South-Eastern Asia,14874.0
China,1408280000,Beijing,Eastern Asia,9706961.0
Bangladesh,169828911,Dhaka,Southern Asia,147570.0
Kyrgyzstan,7281800,Bishkek,Central Asia,199951.0
Iran,85961000,Tehran,Southern Asia,1648195.0
Bahrain,1594654,Manama,Western Asia,765.0
Turkey,85664944,Ankara,Western Asia,783562.0
South Korea,51159889,Seoul,Eastern Asia,100210.0
Lebanon,5490000,Beirut,Western Asia,10452.0
Georgia,4000921,Tbilisi,Western Asia,69700.0
Tajikistan,10499000,Dushanbe,Central Asia,143100.0
Thailand,65859640,Bangkok,South-Eastern Asia,513120.0
Malaysia,34231700,Kuala Lumpur,South-Eastern Asia,330803.0
North Korea,25950000,Pyongyang,Eastern Asia,120538.0
Saudi Arabia,35300280,Riyadh,Western Asia,2149690.0
Mongolia,3544835,Ulan Bator,Eastern Asia,1564110.0
Brunei,455500,Bandar Seri Begawan,South-Eastern Asia,5765.0
Armenia,3076200,Yerevan,Western Asia,29743.0
Iraq,46118793,Baghdad,Western Asia,438317.0
Yemen,32684503,Sana'a,Western Asia,527968.0
Japan,123210000,Tokyo,Eastern Asia,377930.0
Pakistan,241499431,Islamabad,Southern Asia,796095.0
Israel,10134800,Jerusalem,Western Asia,21937.0
Afghanistan,43844000,Kabul,Southern Asia,652230.0
Cambodia,17577760,Phnom Penh,South-Eastern Asia,181035.0
Sri Lanka,21763170,Sri Jayawardenepura Kotte,Southern Asia,65610.0
Turkmenistan,7057841,Ashgabat,Central Asia,488100.0
Oman,5343630,Muscat,Western Asia,309500.0
Azerbaijan,10241722,Baku,Western Asia,86600.0
Maldives,515132,Malé,Southern Asia,300.0
Vietnam,101343800,Hanoi,South-Eastern Asia,331212.0
Singapore,6110200,Singapore,South-Eastern Asia,710.0
India,1417492000,New Delhi,Southern Asia,3287263.0
Kazakhstan,20426568,Astana,Central Asia,2724900.0
Philippines,114123600,Manila,South-Eastern Asia,342353.0
Syria,25620000,Damascus,Western Asia,185180.0
Nepal,29911840,Kathmandu,Southern Asia,147181.0
Kuwait,4881254,Kuwait City,Western Asia,17818.0
United Arab Emirates,11294243,Abu Dhabi,Western Asia,83600.0
Taiwan,23317031,Taipei,Eastern Asia,36197.0
